feature_set,criterion,max_depth,min_samples_leaf,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_accuracy_std
border_asymmetry_color_no_ita_fst,gini,2.0,1,0.6661055897101663,0.026542576271362434,0.6571428571428571,0.025211688791127815
border_asymmetry_color_no_ita_fst,gini,2.0,2,0.6661055897101663,0.026542576271362434,0.6571428571428571,0.025211688791127815
border_asymmetry_color_no_ita_fst,gini,2.0,5,0.6661055897101663,0.026542576271362434,0.6571428571428571,0.025211688791127815
border_asymmetry_color_no_ita_fst,gini,2.0,10,0.6661055897101663,0.026542576271362434,0.6571428571428571,0.025211688791127815
border_asymmetry_color_no_ita_fst,gini,2.0,20,0.6661055897101663,0.026542576271362434,0.6571428571428571,0.025211688791127815
border_asymmetry_color_no_ita_fst,gini,3.0,1,0.6694785930292937,0.024821894665863892,0.6529761904761904,0.02480079363809481
border_asymmetry_color_no_ita_fst,gini,3.0,2,0.6694785930292937,0.024821894665863892,0.6529761904761904,0.02480079363809481
border_asymmetry_color_no_ita_fst,gini,3.0,5,0.6728658235445142,0.02521794291228913,0.6553571428571429,0.026041241493127795
border_asymmetry_color_no_ita_fst,gini,3.0,10,0.6746621670819293,0.02445059092818649,0.655952380952381,0.026122747925585332
border_asymmetry_color_no_ita_fst,gini,3.0,20,0.6746302808332938,0.024325064405595023,0.655952380952381,0.026122747925585332
border_asymmetry_color_no_ita_fst,gini,4.0,1,0.6744423550254882,0.021747993705746836,0.6511904761904762,0.013494981010422168
border_asymmetry_color_no_ita_fst,gini,4.0,2,0.6750057461657614,0.021603073850994865,0.6494047619047619,0.01362562278840427
border_asymmetry_color_no_ita_fst,gini,4.0,5,0.6706583745623111,0.023119810187035225,0.65,0.01679373330912607
border_asymmetry_color_no_ita_fst,gini,4.0,10,0.6723059058140611,0.022690422446743547,0.6482142857142857,0.01828844225683004
border_asymmetry_color_no_ita_fst,gini,4.0,20,0.677535631851862,0.02717095365854115,0.6488095238095238,0.021044844678171058
border_asymmetry_color_no_ita_fst,gini,5.0,1,0.6681143363757531,0.023436890994229187,0.6410714285714285,0.02191899123752616
border_asymmetry_color_no_ita_fst,gini,5.0,2,0.6658892548297118,0.02577685328107322,0.6392857142857142,0.021576867809990317
border_asymmetry_color_no_ita_fst,gini,5.0,5,0.6641460819053435,0.027552077412204216,0.6380952380952382,0.02820951335969714
border_asymmetry_color_no_ita_fst,gini,5.0,10,0.667285318140236,0.028664469279009376,0.6380952380952382,0.029797597644723423
border_asymmetry_color_no_ita_fst,gini,5.0,20,0.6714166255250639,0.031374336460760474,0.6410714285714285,0.032905416574012504
border_asymmetry_color_no_ita_fst,gini,6.0,1,0.6622752333004562,0.025332370716088334,0.6434523809523809,0.02141203065310114
border_asymmetry_color_no_ita_fst,gini,6.0,2,0.6691063212804759,0.028956674832035293,0.6422619047619048,0.02190282082496917
border_asymmetry_color_no_ita_fst,gini,6.0,5,0.66938275752464,0.02681079236681089,0.6375,0.022144137187783665
border_asymmetry_color_no_ita_fst,gini,6.0,10,0.6709241617196312,0.02272583043990267,0.6363095238095238,0.01950710667639756
