criterion,max_depth,min_samples_leaf,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_accuracy_std
gini,2.0,1,0.6661055897101663,0.026542576271362434,0.6571428571428571,0.025211688791127815
gini,2.0,2,0.6661055897101663,0.026542576271362434,0.6571428571428571,0.025211688791127815
gini,2.0,5,0.6661055897101663,0.026542576271362434,0.6571428571428571,0.025211688791127815
gini,2.0,10,0.6661055897101663,0.026542576271362434,0.6571428571428571,0.025211688791127815
gini,2.0,20,0.6661055897101663,0.026542576271362434,0.6571428571428571,0.025211688791127815
gini,3.0,1,0.6698151979260092,0.02507492983487479,0.6535714285714286,0.02515541262989931
gini,3.0,2,0.6698151979260092,0.02507492983487479,0.6535714285714286,0.02515541262989931
gini,3.0,5,0.6728658235445142,0.02521794291228913,0.6553571428571429,0.026041241493127795
gini,3.0,10,0.6746621670819293,0.02445059092818649,0.655952380952381,0.026122747925585332
gini,3.0,20,0.6736736537039434,0.024443963488558384,0.655952380952381,0.026122747925585332
gini,4.0,1,0.6740243123020151,0.02088652639724644,0.6517857142857142,0.014335231641419413
gini,4.0,2,0.6741164445351537,0.021154799137976247,0.650595238095238,0.014409188615369274
gini,4.0,5,0.6695529409220845,0.02270417333163091,0.6494047619047618,0.017086547731437318
gini,4.0,10,0.6707186032224485,0.02281949238307603,0.6482142857142857,0.01828844225683004
gini,4.0,20,0.6761680115094852,0.02704425078441423,0.6494047619047619,0.020568038741870236
gini,5.0,1,0.6654250656447841,0.025919795317558503,0.6392857142857143,0.01867188945399778
gini,5.0,2,0.6662151589175632,0.028834979810356945,0.6398809523809523,0.01947074670690016
gini,5.0,5,0.6612903026766576,0.028306855361254026,0.6351190476190476,0.018973068393463386
gini,5.0,10,0.6637917625934381,0.029754914051405526,0.6339285714285714,0.020960496263879785
gini,5.0,20,0.6655739537559345,0.032964593776975644,0.6345238095238095,0.027561516435214834
gini,6.0,1,0.6623851366923602,0.020759578517915676,0.644047619047619,0.0225563039541624
gini,6.0,2,0.6701090906029586,0.025222257566364023,0.644047619047619,0.02317609801658546
gini,6.0,5,0.6625552785364344,0.02684435661390955,0.636904761904762,0.01947074670690017
gini,6.0,10,0.6663499992276848,0.021471033301622203,0.636904761904762,0.02104484467817107
gini,6.0,20,0.6704175346173973,0.031136341012681243,0.6297619047619047,0.02757436862357253
gini,8.0,1,0.642189304370368,0.024185413003743453,0.6309523809523809,0.02439750182371332
gini,8.0,2,0.6449279525570282,0.033674019614837944,0.6244047619047619,0.02863336540668024
gini,8.0,5,0.6487475738857591,0.021957630585757712,0.6255952380952381,0.026311947744405186
gini,8.0,10,0.6606669562999348,0.019422933844962784,0.6321428571428572,0.018500321747523887
gini,8.0,20,0.671154510505616,0.027376936388574562,0.6321428571428572,0.019158901118370347
gini,10.0,1,0.636467260277778,0.02267236751284151,0.6273809523809524,0.021078489535268766
