feature_set,k,cv_accuracy_mean,cv_accuracy_std,cv_auc_mean,cv_auc_std
border_asymmetry,1,0.5375,0.018595832561682523,0.5374155535083679,0.018579490297214098
border_asymmetry,2,0.5285714285714287,0.018690855319175685,0.5495294132280462,0.02456694354324846
border_asymmetry,3,0.5571428571428572,0.01634467883064998,0.572435756079115,0.018656980065427275
border_asymmetry,4,0.5446428571428572,0.013176156917368245,0.5800253447187258,0.014883519293763244
border_asymmetry,5,0.5708333333333333,0.011511356908222446,0.5904315201009245,0.007731518749924509
border_asymmetry,6,0.5726190476190476,0.017415165283723586,0.605897347970002,0.010235793877101943
border_asymmetry,7,0.6,0.005520011009223613,0.6213204886015514,0.009611886929972762
border_asymmetry,8,0.5857142857142856,0.014749418682576067,0.6266988122535271,0.010955817905209268
border_asymmetry,9,0.5934523809523811,0.0058321184351980224,0.627634097019502,0.015603994676277048
border_asymmetry,10,0.5976190476190476,0.005771047449305133,0.6311206678339171,0.009022885213893913
border_asymmetry,11,0.6125,0.014749418682576027,0.6357657699635146,0.009176837624211988
border_asymmetry,12,0.5964285714285714,0.014035507288751903,0.6351421634702257,0.012533876751049722
border_asymmetry,13,0.6035714285714285,0.018576769683722908,0.641310735435501,0.014458388151197796
border_asymmetry,14,0.6041666666666667,0.01248581962107323,0.6471038147008321,0.013306132976970943
border_asymmetry,15,0.6095238095238095,0.010878373144343504,0.6523370041053423,0.012743782879954705
border_asymmetry,16,0.6154761904761904,0.01876652710766004,0.655501065026691,0.012345986201470763
border_asymmetry,17,0.6172619047619048,0.007192289269996774,0.6560998345307131,0.01243826254997588
border_asymmetry,18,0.6136904761904761,0.016235930591649822,0.6554089326680134,0.01157909705256567
border_asymmetry,19,0.6214285714285713,0.010878373144343494,0.6584985435079204,0.011135398435092075
border_asymmetry,20,0.6238095238095238,0.02665975675780798,0.6601461254773793,0.013793647760471879
border_asymmetry_color_no_ita_fst,1,0.5523809523809524,0.015815869351888587,0.5522968433378382,0.015751899950724922
border_asymmetry_color_no_ita_fst,2,0.5630952380952381,0.015680880800380326,0.5737218369082389,0.02387038342630652
border_asymmetry_color_no_ita_fst,3,0.5761904761904761,0.012140522651411394,0.5932871073806579,0.013090068461746662
border_asymmetry_color_no_ita_fst,4,0.5720238095238096,0.02073958498831471,0.6022688027218116,0.016999423333533114
border_asymmetry_color_no_ita_fst,5,0.5845238095238094,0.020325441760671255,0.6092949061925258,0.016033243732395244
border_asymmetry_color_no_ita_fst,6,0.5904761904761904,0.010240863413145982,0.6224150726693375,0.016872149333522293
border_asymmetry_color_no_ita_fst,7,0.5910714285714286,0.02639261818737546,0.6304827396137564,0.01861535626609998
border_asymmetry_color_no_ita_fst,8,0.5964285714285713,0.023479860622995282,0.6400420532912758,0.024378703518995563
border_asymmetry_color_no_ita_fst,9,0.5946428571428571,0.031575683833035356,0.6448960683170148,0.031114400782345862
border_asymmetry_color_no_ita_fst,10,0.6029761904761906,0.029438721473519613,0.6464586358569341,0.03414099905184395
border_asymmetry_color_no_ita_fst,11,0.6059523809523809,0.040044971884652766,0.6504163101613463,0.037611157333683094
border_asymmetry_color_no_ita_fst,12,0.6101190476190477,0.03506351541672175,0.6541720525358332,0.03878030511893624
border_asymmetry_color_no_ita_fst,13,0.6220238095238095,0.03834553192477716,0.6577081017392016,0.04298360138554845
border_asymmetry_color_no_ita_fst,14,0.6172619047619048,0.03107804162430146,0.6613468717528113,0.039419390017378104
border_asymmetry_color_no_ita_fst,15,0.6285714285714287,0.037617917403154684,0.6641849340555295,0.039377609526008925
border_asymmetry_color_no_ita_fst,16,0.6220238095238094,0.033881546358946926,0.664585297138083,0.04014241879589128
border_asymmetry_color_no_ita_fst,17,0.6261904761904762,0.037862009270926776,0.6661797505500211,0.03820185723043328
border_asymmetry_color_no_ita_fst,18,0.6196428571428572,0.03603034750100368,0.665811256391737,0.036928811876194116
border_asymmetry_color_no_ita_fst,19,0.6232142857142857,0.03208769517129418,0.6663179482720346,0.03493081744506894
border_asymmetry_color_no_ita_fst,20,0.6202380952380953,0.028334833893837886,0.6650495071624654,0.034385931889958275
all_features,1,0.5684523809523809,0.018916962597703226,0.5684072683036294,0.018953516318115406
all_features,2,0.5601190476190476,0.023084189797220593,0.5924046733546553,0.026792861841896127
all_features,3,0.5922619047619048,0.03414197714214282,0.6118989518397091,0.02920944763599703
all_features,4,0.5892857142857143,0.020875807043750208,0.623694119805914,0.023441006209214316
all_features,5,0.6029761904761906,0.025712632221970445,0.6375725952444424,0.026134871793144207
all_features,6,0.6065476190476191,0.017394808566907678,0.6474438800768627,0.01570584717414723
all_features,7,0.6244047619047619,0.014260891131798728,0.6541617475510678,0.014767742583265778
all_features,8,0.6178571428571429,0.019705887330055745,0.659001711511767,0.011243688256031337
all_features,9,0.6142857142857143,0.008948390701412456,0.6606456251095201,0.010143407193289246
all_features,10,0.6113095238095237,0.020671137326411095,0.6583284538880216,0.013249607576566333
all_features,11,0.6178571428571429,0.022556303954162398,0.664631703339487,0.017334864863713745
all_features,12,0.6250000000000001,0.02958279438045042,0.6691102481367418,0.018728974841749426
all_features,13,0.618452380952381,0.026041241493127792,0.6644190580468093,0.02111506110426369
all_features,14,0.6178571428571429,0.023404289584925592,0.6638591739607771,0.018865961752268328
all_features,15,0.6214285714285713,0.020824828195876045,0.6675936292089976,0.017599093725222916
all_features,16,0.6273809523809524,0.019324622715176078,0.6679195712095914,0.020538852084533547
all_features,17,0.636904761904762,0.014211114745611089,0.6711013049927597,0.018297502526844745
all_features,18,0.6327380952380952,0.03524493176925585,0.6741837365150148,0.02329175603816039
all_features,19,0.6333333333333333,0.02717312431074603,0.6733298044604347,0.026546347175487574
all_features,20,0.6202380952380953,0.03124858273430163,0.6724617727572669,0.02820666508909036
