feature,coefficient,abs_coefficient
rgb_var_g,1.3955793019035658,1.3955793019035658
rgb_var_b,-0.8960901717865011,0.8960901717865011
border_pixels,0.7922661368334943,0.7922661368334943
hsv_var_v,-0.6275540380965623,0.6275540380965623
total_pixels,-0.3422364263084949,0.3422364263084949
hsv_var_s,0.2770147221739448,0.2770147221739448
area,-0.2747793813690357,0.2747793813690357
asymmetry_score,-0.26984412388621476,0.26984412388621476
hsv_var_h,0.26762194978222703,0.26762194978222703
lesion_percentage,0.24101613270820804,0.24101613270820804
perimeter,-0.20463686395887948,0.20463686395887948
rgb_var_r,-0.17176232147499215,0.17176232147499215
fst_predicted,0.17048076938869072,0.17048076938869072
ita_mean,0.06591000448440368,0.06591000448440368
compactness,-0.050273281530579174,0.050273281530579174
